Data from 145mW_IR_0.3bar_Ar_wedges_0mm_File7__1__15-56-46-391.txt Node

Date: Thu Jan 06 15:56:46 CET 2022
User: fsatto
Spectrometer: OFX01956
Trigger mode: 0
Integration Time (sec): 5,000000E-3
Scans to average: 20
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2136
>>>>>Begin Spectral Data<<<<<	
158,236	2,7	
158,705	-6,35	
159,174	-2,6	
159,643	-3,1	
160,112	1,55	
160,582	-1,9	
161,051	4,45	
161,52	7,55	
161,988	-0,7	
162,457	-2,65	
162,926	-1,65	
163,395	-3,95	
163,864	1,2	
164,332	0,65	
164,801	4,3	
165,269	-1,2	
165,738	-4,85	
166,206	2,2	
166,675	-0,55	
167,143	-0,7	
167,612	1,55	
168,08	-2,7	
168,548	0,4	
169,016	-3,6	
169,484	-4,85	
169,952	1,4	
170,42	-0,45	
170,888	-5,1	
171,356	-5,2	
171,824	0,95	
172,292	-5,35	
172,759	6,35	
173,227	0,85	
173,695	-1,55	
174,162	-0,65	
174,63	6,8	
175,097	4,25	
175,565	0,9	
176,032	-3,4	
176,499	-1,1	
176,967	-0,1	
177,434	-1,4	
177,901	3,05	
178,368	-5,65	
178,835	-7,1	
179,302	8,05	
179,769	-1,5	
180,236	-0,2	
180,703	-1,35	
181,17	-2,8	
181,637	-1,1	
182,103	-4,05	
182,57	3	
183,036	2,35	
183,503	-5,55	
183,97	-0,7	
184,436	-2,3	
184,902	-0,25	
185,369	-2,15	
185,835	3,5	
186,301	2,55	
186,767	-3,45	
187,234	-5,55	
187,7	-0,55	
188,166	0,75	
188,632	-6,75	
189,098	0,3	
189,563	3,95	
190,029	0,8	
190,495	-0,4	
190,961	-3,55	
191,426	3,5	
191,892	3,75	
192,358	2,15	
192,823	-1,3	
193,289	3,9	
193,754	-5,4	
194,219	-3,35	
194,685	3,05	
195,15	-0,95	
195,615	0,3	
196,08	-1,3	
196,545	-4,3	
197,01	5,45	
197,475	3,1	
197,94	1,7	
198,405	0,65	
198,87	0,05	
199,335	-5,05	
199,8	-1,55	
200,264	85,35	
200,729	89,25	
201,193	93,95	
201,658	92,1	
202,122	97	
202,587	101,25	
203,051	106,65	
203,516	109,7	
203,98	113,95	
204,444	109,25	
204,908	106,95	
205,372	115,1	
205,836	122,65	
206,3	133,75	
206,764	129,65	
207,228	144,75	
207,692	151,45	
208,156	165,3	
208,62	162,75	
209,083	190,35	
209,547	209,1	
210,011	220,3	
210,474	241	
210,938	272,45	
211,401	295,65	
211,864	331,85	
212,328	356,3	
212,791	408,2	
213,254	483,6	
213,717	542,5	
214,181	605,8	
214,644	676,55	
215,107	781,5	
215,57	881,6	
216,033	1018,7	
216,495	1116,4	
216,958	1217,45	
217,421	1409,35	
217,884	1571,65	
218,346	1779,2	
218,809	1933,15	
219,272	1963,3	
219,734	2085,8	
220,196	2375,5	
220,659	2666,6	
221,121	2923,9	
221,584	3228,55	
222,046	3376,5	
222,508	3562,7	
222,97	3908,65	
223,432	4116,6	
223,894	4416,25	
224,356	4905,8	
224,818	5156,25	
225,28	5451,35	
225,742	6017,55	
226,204	6463,3	
226,665	6815,4	
227,127	7176,65	
227,589	7482,15	
228,05	8159,05	
228,512	9378,05	
228,973	10622,85	
229,435	10672,75	
229,896	10410,3	
230,357	10337,6	
230,818	10965,45	
231,28	11897,55	
231,741	12152,35	
232,202	12462,45	
232,663	12446,9	
233,124	11785,85	
233,585	12329,1	
234,046	14085	
234,507	14953,15	
234,967	14588,75	
235,428	14382,2	
235,889	14026,25	
236,349	13826,05	
236,81	15022,95	
237,271	16417	
237,731	16719,5	
238,191	16482,15	
238,652	16170,85	
239,112	16354,9	
239,572	17261,1	
240,033	18174,7	
240,493	18291,75	
240,953	17722,6	
241,413	17155,5	
241,873	17054,55	
242,333	17127,3	
242,793	17774,15	
243,253	18644,05	
243,712	18437,5	
244,172	17287,85	
244,632	17307,4	
245,092	19053,15	
245,551	21818	
246,011	23982,8	
246,47	23369,7	
246,93	22681,65	
247,389	23406,05	
247,848	25414,75	
248,308	29332,6	
248,767	32380,85	
249,226	33504,2	
249,685	33634,8	
250,144	33508,9	
250,603	34456,3	
251,062	37237,95	
251,521	41735,95	
251,98	42559	
252,439	40866,6	
252,897	40076,8	
253,356	41675,6	
253,815	42708,6	
254,273	45321,7	
254,732	47850,6	
255,19	46353,65	
255,649	43434,35	
256,107	42949,8	
256,566	44988,05	
257,024	45754,15	
257,482	43869,75	
257,94	41359,35	
258,398	39933,55	
258,856	40138,05	
259,315	39872,35	
259,772	39192,35	
260,23	38038,5	
260,688	37804	
261,146	37815,8	
261,604	35321,85	
262,062	33978,8	
262,519	34806,35	
262,977	35054,5	
263,434	33815	
263,892	34110,55	
264,349	32969,45	
264,807	30255,75	
265,264	30145,95	
265,721	32050,4	
266,179	32403,7	
266,636	30130,2	
267,093	28281	
267,55	27572,75	
268,007	26753,1	
268,464	27056,55	
268,921	28002,85	
269,378	27166,05	
269,835	24164,35	
270,291	21888,15	
270,748	20341,8	
271,205	19719,9	
271,661	20303,5	
272,118	21133,8	
272,574	20300,85	
273,031	18645,05	
273,487	17425,95	
273,944	16782,65	
274,4	16372,2	
274,856	16488,4	
275,312	16818,9	
275,768	15986,05	
276,225	14694,9	
276,681	14575,5	
277,137	14571,35	
277,593	14006,4	
278,048	13112,55	
278,504	13007,45	
278,96	12674,7	
279,416	11617,15	
279,871	11003,7	
280,327	10705,2	
280,783	10694,55	
281,238	10853,65	
281,694	11044,5	
282,149	10773,3	
282,604	10216,25	
283,06	9732,8	
283,515	9376,25	
283,97	9253,25	
284,425	9068,3	
284,88	8782,4	
285,335	8505,5	
285,79	8276,25	
286,245	8221,1	
286,7	8164,7	
287,155	7794,3	
287,61	7791,65	
288,064	7963,85	
288,519	8079,3	
288,974	7932,35	
289,428	7598,7	
289,883	7160,6	
290,337	6757,8	
290,792	6579,45	
291,246	6534,2	
291,7	6549,35	
292,155	6324,65	
292,609	6074,4	
293,063	5723,05	
293,517	5262,35	
293,971	5098,25	
294,425	5110,65	
294,879	4990,3	
295,333	4563,65	
295,787	4274,45	
296,241	4028,85	
296,694	3747,8	
297,148	3458,25	
297,602	3213,1	
298,055	3136,2	
298,509	2993,2	
298,962	2710,45	
299,416	2468,45	
299,869	2267,6	
300,322	2085,25	
300,775	2032,6	
301,229	1981,75	
301,682	1939,9	
302,135	1828,55	
302,588	1746,95	
303,041	1715,6	
303,494	1665,85	
303,947	1559,35	
304,4	1451,85	
304,852	1460,25	
305,305	1381,95	
305,758	1322,8	
306,21	1242,85	
306,663	1204,7	
307,115	1162,55	
307,568	1158,35	
308,02	1106,4	
308,473	1071,5	
308,925	1050,45	
309,377	1012,25	
309,829	956,3	
310,282	915,65	
310,734	878,05	
311,186	864,25	
311,638	853,75	
312,09	819,7	
312,542	784,05	
312,993	718,55	
313,445	699,85	
313,897	680,4	
314,349	646,45	
314,8	630	
315,252	610	
315,703	570,6	
316,155	539,9	
316,606	525,85	
317,058	504,3	
317,509	482,9	
317,96	476,7	
318,411	443,3	
318,863	440,25	
319,314	413,2	
319,765	380,55	
320,216	372,7	
320,667	350,55	
321,117	331,8	
321,568	317,7	
322,019	294,6	
322,47	281,45	
322,921	270,85	
323,371	255,05	
323,822	244,8	
324,272	229,3	
324,723	210,35	
325,173	200,85	
325,623	181,95	
326,074	173,8	
326,524	148,3	
326,974	144,1	
327,424	152,8	
327,874	168,15	
328,325	229,6	
328,775	207,8	
329,224	157,7	
329,674	150,1	
330,124	133,6	
330,574	122,25	
331,024	119,05	
331,473	111,05	
331,923	99,3	
332,373	99,8	
332,822	92,4	
333,272	81,95	
333,721	79,65	
334,17	74,45	
334,62	69,1	
335,069	64,75	
335,518	61,25	
335,967	57	
336,416	57,75	
336,865	48,05	
337,314	45	
337,763	48,55	
338,212	41,35	
338,661	39,45	
339,11	36,7	
339,558	42,6	
340,007	36,15	
340,456	31,25	
340,904	30,95	
341,353	38,85	
341,801	29,05	
342,25	25,6	
342,698	28,45	
343,146	24,6	
343,595	23,75	
344,043	20,65	
344,491	22,95	
344,939	22,05	
345,387	20,65	
345,835	17,6	
346,283	20,25	
346,731	15,45	
347,179	20,1	
347,626	14,1	
348,074	23,05	
348,522	16,7	
348,969	14,9	
349,417	13,4	
349,865	26	
350,312	19,45	
350,759	10,3	
351,207	13,55	
351,654	7,65	
352,101	10,8	
352,548	8,4	
352,996	10,35	
353,443	13,4	
353,89	13,6	
354,337	19,7	
354,784	11,2	
355,231	6,8	
355,677	11,7	
356,124	9,7	
356,571	15,05	
357,018	12,35	
357,464	14	
357,911	15	
358,357	18,65	
358,804	5,05	
359,25	10,6	
359,696	1,3	
360,143	3,95	
360,589	11,1	
361,035	2,9	
361,481	8,2	
361,927	4,2	
362,373	-1,85	
362,819	12,5	
363,265	6,7	
363,711	10,5	
364,157	3,95	
364,603	5,85	
365,048	10	
365,494	4,3	
365,94	8	
366,385	4,25	
366,831	4,65	
367,276	11,8	
367,722	7,15	
368,167	5,05	
368,612	6,05	
369,057	4,4	
369,503	4,8	
369,948	3,5	
370,393	9,55	
370,838	5,4	
371,283	7,5	
371,728	9,95	
372,173	-1,75	
372,617	10,15	
373,062	11,3	
373,507	2	
373,951	9,8	
374,396	8,5	
374,841	1,9	
375,285	2,5	
375,729	5,75	
376,174	0,7	
376,618	10,5	
377,062	8,4	
377,507	7,65	
377,951	2	
378,395	1,05	
378,839	15	
379,283	7,3	
379,727	5,3	
380,171	5,15	
380,615	-0,05	
381,059	1,8	
381,502	8,1	
381,946	9,35	
382,39	7,05	
382,833	3,85	
383,277	9,1	
383,72	3,35	
384,164	2,25	
384,607	0,55	
385,05	12,2	
385,494	13,55	
385,937	9	
386,38	2,9	
386,823	4	
387,266	5,95	
387,709	2,95	
388,152	7,65	
388,595	7	
389,038	9,55	
389,481	5,6	
389,923	5,3	
390,366	6,35	
390,809	6,3	
391,251	8,85	
391,694	13,9	
392,136	6,7	
392,579	4,55	
393,021	-0,05	
393,463	6,55	
393,906	5,35	
394,348	4,4	
394,79	9,55	
395,232	15	
395,674	8,05	
396,116	15,3	
396,558	5,3	
397	7,15	
397,442	7,9	
397,884	10,2	
398,325	7,3	
398,767	5,8	
399,209	5,6	
399,65	14,25	
400,092	7,95	
400,533	7,15	
400,974	3,75	
