pressure;EnergyMeasurement1;EnergyMeasurement2;EnergyMeasurement3;EnergyMeasurement4;EnergyMeasurement5;EnergyMeasurement6;EnergyMeasurement7;EnergyMeasurement8;EnergyMeasurement9;EnergyMeasurement10;EnergyMeasurement11
0;0;-4.5;1;-16.9;-18.1;-22.6;14.9;-24;0;0;-20.2
0.5;81.9;52;24.5;17;40.6;20;89;;;;
1;160;190;164.8;154.2;173.2;;;;;;
1.5;221.2;275.7;317.5;299.8;304.7;;;;;;
2;398.5;454.3;408;407.4;420.7;;;;;;
2.5;500;489.4;472.3;508.3;480.2;;;;;;
3;546.7;573;566.3;531.3;510.7;;;;;;
3.5;568.4;572.6;601;580.6;598;;;;;;
4;643.4;607.5;618.9;623.3;610.5;;;;;;
4.5;611.7;639.6;608;620.1;627.4;;;;;;
5;624.3;622.3;668.2;640.1;632.9;;;;;;
