
Integration time [ms]:   1.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 175.73;   87.578;   -2.228;    4.578;89.80556
 176.33;   57.978;   -3.628;   -0.622;61.60556
 176.93;   69.878;    6.172;    8.278;63.70556
 177.53;   58.578;   -0.928;    4.578;59.50556
 178.13;    0.178;    3.872;   -9.522;-3.69444
 178.73;   81.178;   -3.928;   10.178;85.10556
 179.33;   81.578;    8.172;    3.478;73.40556
 179.93;   66.078;   -4.328;   -1.022;70.40556
 180.53;   76.178;    9.472;    6.378;66.70556
 181.13;   83.578;   -6.428;    3.078;90.00556
 181.73;   66.878;    2.572;   -8.622;64.30556
 182.34;  133.378;    8.272;    9.078;125.10556
 182.94;   57.978;   -6.628;   -4.222;64.60556
 183.54;   82.478;   -4.728;   -4.822;87.20556
 184.14;   77.178;    6.772;    2.278;70.40556
 184.74;  157.878;    3.172;   11.778;154.70556
 185.34;   88.578;    4.372;   -7.122;84.20556
 185.94;   82.078;   -7.528;    5.678;89.60556
 186.54;   75.478;   -2.528;   -1.322;78.00556
 187.14;   80.378;    2.272;   -1.122;78.10556
 187.74;   79.178;    4.672;    1.278;74.50556
 188.34;   77.878;    0.672;    6.678;77.20556
 188.94;   81.678;    4.072;   -0.622;77.60556
 189.54;   75.378;   -2.628;    9.778;78.00556
 190.14;   55.678;   -1.328;   -2.722;57.00556
 190.74;   85.178;   -1.028;    4.178;86.20556
 191.34;   86.778;    2.372;    1.878;84.40556
 191.94;   76.678;   -5.828;    8.878;82.50556
 192.54;   85.378;    8.772;    0.478;76.60556
 193.14;   83.078;   -4.528;    2.278;87.60556
 193.74;   95.378;    3.472;   -4.022;91.90556
 194.34;   86.178;    3.472;   -4.622;82.70556
 194.94;   83.578;   -1.228;    5.578;84.80556
 195.54;   75.578;    2.072;   -2.322;73.50556
 196.14;   81.978;    6.872;   -3.122;75.10556
 196.74;   86.178;  -10.428;    5.578;96.60556
 197.34;   72.178;   -2.228;    6.578;74.40556
 197.94;   87.678;   10.672;   -4.422;77.00556
 198.54;   45.878;   -3.228;    5.478;49.10556
