% Model:              version04.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 14 2023, 16:33
% Dimension:          1
% Nodes:              1649
% Expressions:        101
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-34.5,4.292841721601086E19,7.3510176857187115E19,1.0409193649836312E20,1.3467369613953928E20,1.6525545578071536E20,1.9583721542189158E20,2.264189750630673E20,2.5700073470424377E20,2.8758249434542E20,3.181642539865966E20,3.4874601362777263E20,3.793277732689487E20,4.099095329101247E20,4.404912925513014E20,4.71073052192478E20,5.01654811833653E20,5.3223657147482885E20,5.628183311160053E20,5.934000907571813E20,6.239818503983581E20,6.545636100395353E20,6.851453696807101E20,7.157271293218874E20,7.463088889630639E20,7.768906486042405E20,8.074724082454147E20,8.380541678865912E20,8.686359275277678E20,8.992176871689452E20,9.297994468101213E20,9.603812064512981E20,9.909629660924724E20,1.0215447257336477E21,1.052126485374826E21,1.0827082450159998E21,1.1132900046571774E21,1.1438717642983537E21,1.174453523939529E21,1.205035283580703E21,1.2356170432218802E21,1.2661988028630536E21,1.2967805625042304E21,1.3273623221454077E21,1.3579440817865855E21,1.3885258414277625E21,1.419107601068936E21,1.4496893607101103E21,1.4802711203512912E21,1.510852879992466E21,1.5414346396336406E21,1.572016399274818E21,1.6025981589159975E21,1.6331799185571698E21,1.6637616781983456E21,1.694343437839522E21,1.724925197480701E21,1.7555069571218746E21,1.7860887167630532E21,1.8166704764042234E21,1.8472522360454043E21,1.8778339956865772E21,1.9084157553277545E21,1.93899751496893E21,1.9695792746101088E21,2.000161034251284E21,2.030742793892459E21,2.061324553533633E21,2.0919063131748114E21,2.122488072815988E21,2.1530698324571597E21,2.1836515920983428E21,2.2142333517395164E21,2.2448151113806947E21,2.2753968710218684E21,2.3059786306630443E21,2.3365603903042208E21,2.3671421499453976E21,2.397723909586578E21,2.428305669227752E21,2.458887428868931E21,2.4894691885101005E21,2.520050948151278E21,2.550632707792456E21,2.58121446743363E21,2.611796227074809E21,2.6423779867159843E21,2.672959746357163E21,2.703541505998339E21,2.73412326563951E21,2.764705025280689E21,2.7952867849218624E21,2.825868544563043E21,2.8564503042042196E21,2.8870320638453953E21,2.917613823486573E21,2.9481955831277415E21,2.978777342768921E21,3.0093591024101003E21,3.0399408620512745E21,3.0705226216924497E21,3.101104381333634E21
-33.47822531757974,5.925481161238202E19,9.381083741772798E19,1.2836686322307378E20,1.629228890284201E20,1.97478914833766E20,2.320349406391121E20,2.665909664444576E20,3.011469922498036E20,3.357030180551495E20,3.7025904386049547E20,4.048150696658416E20,4.3937109547118703E20,4.73927121276533E20,5.084831470818796E20,5.430391728872259E20,5.775951986925707E20,6.121512244979166E20,6.467072503032629E20,6.812632761086092E20,7.158193019139549E20,7.503753277193025E20,7.849313535246462E20,8.194873793299939E20,8.540434051353398E20,8.885994309406871E20,9.231554567460305E20,9.577114825513768E20,9.922675083567231E20,1.0268235341620698E21,1.0613795599674163E21,1.0959355857727628E21,1.1304916115781073E21,1.1650476373834514E21,1.1996036631888006E21,1.2341596889941439E21,1.2687157147994916E21,1.3032717406048375E21,1.3378277664101824E21,1.3723837922155286E21,1.406939818020875E21,1.441495843826218E21,1.4760518696315655E21,1.5106078954369128E21,1.5451639212422597E21,1.5797199470476075E21,1.6142759728529502E21,1.6488319986582943E21,1.6833880244636457E21,1.7179440502689898E21,1.7525000760743347E21,1.7870561018796814E21,1.821612127685031E21,1.8561681534903716E21,1.890724179295717E21,1.9252802051010643E21,1.9598362309064138E21,1.9943922567117574E21,2.0289482825171046E21,2.0635043083224456E21,2.0980603341277967E21,2.1326163599331382E21,2.1671723857384862E21,2.2017284115438303E21,2.2362844373491785E21,2.270840463154525E21,2.3053964889598696E21,2.339952514765213E21,2.374508540570562E21,2.4090645663759073E21,2.4436205921812485E21,2.478176617986601E21,2.5127326437919445E21,2.5472886695972915E21,2.5818446954026364E21,2.616400721207982E21,2.6509567470133266E21,2.6855127728186746E21,2.720068798624021E21,2.7546248244293675E21,2.789180850234716E21,2.823736876040053E21,2.8582929018454006E21,2.892848927650747E21,2.9274049534560934E21,2.9619609792614425E21,2.996517005066787E21,3.0310730308721354E21,3.065629056677481E21,3.1001850824828225E21,3.134741108288171E21,3.1692971340935143E21,3.2038531598988655E21,3.2384091857042093E21,3.2729652115095594E21,3.3075212373149053E21,3.342077263120242E21,3.376633288925592E21,3.4111893147309404E21,3.4457453405362863E21,3.48030136634163E21,3.5148573921469824E21
-33.4171640518279,6.030914805491328E19,9.591964182281627E19,1.3153013559071914E20,1.6714062935862257E20,2.0275112312652546E20,2.3836161689442864E20,2.7397211066233117E20,3.0958260443023435E20,3.451930981981373E20,3.808035919660405E20,4.1641408573394354E20,4.520245795018462E20,4.8763507326974906E20,5.232455670376526E20,5.5885606080555595E20,5.94466554573458E20,6.300770483413611E20,6.656875421092643E20,7.012980358771674E20,7.3690852964507E20,7.725190234129747E20,8.081295171808752E20,8.437400109487804E20,8.793505047166833E20,9.149609984845869E20,9.505714922524878E20,9.861819860203911E20,1.0217924797882947E21,1.0574029735561985E21,1.0930134673241018E21,1.1286239610920057E21,1.1642344548599073E21,1.1998449486278078E21,1.2354554423957122E21,1.2710659361636127E21,1.306676429931518E21,1.3422869236994207E21,1.3778974174673222E21,1.413507911235226E21,1.4491184050031304E21,1.4847288987710299E21,1.520339392538934E21,1.5559498863068384E21,1.5915603800747428E21,1.6271708738426472E21,1.662781367610547E21,1.6983918613784486E21,1.7340023551463562E21,1.7696128489142574E21,1.8052233426821597E21,1.8408338364500633E21,1.8764443302179695E21,1.9120548239858677E21,1.9476653177537705E21,1.9832758115216743E21,2.0188863052895814E21,2.0544967990574816E21,2.090107292825386E21,2.125717786593284E21,2.161328280361192E21,2.1969387741290902E21,2.2325492678969952E21,2.2681597616648974E21,2.303770255432803E21,2.3393807492007052E21,2.374991242968606E21,2.4106017367365077E21,2.446212230504414E21,2.4818227242723175E21,2.517433218040216E21,2.5530437118081263E21,2.588654205576026E21,2.624264699343931E21,2.659875193111832E21,2.6954856868797334E21,2.731096180647637E21,2.766706674415542E21,2.8023171681834453E21,2.8379276619513484E21,2.8735381557192546E21,2.909148649487149E21,2.9447591432550524E21,2.980369637022957E21,3.0159801307908586E21,3.0515906245587664E21,3.087201118326667E21,3.1228116120945736E21,3.1584221058624756E21,3.194032599630373E21,3.22964309339828E21,3.265253587166179E21,3.300864080934089E21,3.3364745747019895E21,3.3720850684698957E21,3.4076955622378003E21,3.4433060560056935E21,3.478916549773601E21,3.5145270435415054E21,3.5501375373094095E21,3.5857480310773105E21,3.62135852484522E21
-33.25800570473669,5.631424400847872E19,8.793006537430247E19,1.1954588674012606E20,1.5116170810594977E20,1.8277752947177387E20,2.1439335083759773E20,2.4600917220342107E20,2.77624993569245E20,3.0924081493506864E20,3.4085663630089224E20,3.724724576667161E20,4.040882790325394E20,4.357041003983631E20,4.673199217641873E20,4.989357431300112E20,5.3055156449583405E20,5.6216738586165766E20,5.937832072274817E20,6.253990285933058E20,6.570148499591293E20,6.886306713249542E20,7.202464926907759E20,7.518623140566017E20,7.834781354224254E20,8.150939567882497E20,8.467097781540714E20,8.783255995198952E20,9.099414208857196E20,9.415572422515441E20,9.73173063617368E20,1.0047888849831922E21,1.0364047063490147E21,1.0680205277148367E21,1.099636349080663E21,1.1312521704464847E21,1.1628679918123094E21,1.1944838131781337E21,1.2260996345439558E21,1.2577154559097803E21,1.2893312772756047E21,1.3209470986414258E21,1.3525629200072502E21,1.3841787413730752E21,1.4157945627389E21,1.4474103841047252E21,1.479026205470546E21,1.5106420268363688E21,1.5422578482021962E21,1.5738736695680185E21,1.605489490933842E21,1.6371053122996659E21,1.668721133665493E21,1.7003369550313121E21,1.7319527763971355E21,1.7635685977629603E21,1.795184419128787E21,1.826800240494609E21,1.8584160618604334E21,1.8900318832262528E21,1.9216477045920812E21,1.953263525957901E21,1.9848793473237254E21,2.0164951686895483E21,2.048110990055375E21,2.0797268114211983E21,2.1113426327870206E21,2.1429584541528427E21,2.174574275518668E21,2.206190096884493E21,2.2378059182503121E21,2.2694217396161424E21,2.3010375609819645E21,2.3326533823477876E21,2.3642692037136115E21,2.395885025079433E21,2.427500846445258E21,2.459116667811083E21,2.490732489176906E21,2.5223483105427304E21,2.5539641319085567E21,2.585579953274373E21,2.6171957746401993E21,2.648811596006022E21,2.6804274173718456E21,2.7120432387376735E21,2.743659060103495E21,2.7752748814693213E21,2.8068907028351455E21,2.8385065242009634E21,2.8701223455667886E21,2.9017381669326113E21,2.93335398829844E21,2.9649698096642633E21,2.996585631030088E21,3.028201452395914E21,3.059817273761729E21,3.0914330951275554E21,3.123048916493382E21,3.154664737859205E21,3.186280559225028E21,3.217896380590858E21
-33.19138668253141,5.652824961797773E19,8.835823869822458E19,1.2018822777847131E20,1.520182168587182E20,1.8384820593896522E20,2.156781950192122E20,2.475081840994587E20,2.7933817317970575E20,3.111681622599527E20,3.429981513401996E20,3.7482814042044655E20,4.06658129500693E20,4.384881185809397E20,4.703181076611872E20,5.0214809674143426E20,5.339780858216802E20,5.658080749019269E20,5.976380639821743E20,6.29468053062421E20,6.612980421426676E20,6.931280312229158E20,7.249580203031606E20,7.567880093834096E20,7.886179984636564E20,8.204479875439038E20,8.522779766241485E20,8.841079657043956E20,9.159379547846431E20,9.477679438648908E20,9.79597932945138E20,1.011427922025385E21,1.0432579111056308E21,1.0750879001858758E21,1.1069178892661254E21,1.1387478783463699E21,1.1705778674266181E21,1.2024078565068655E21,1.234237845587111E21,1.2660678346673582E21,1.297897823747606E21,1.3297278128278502E21,1.3615578019080983E21,1.393387790988346E21,1.4252177800685937E21,1.4570477691488423E21,1.4888777582290862E21,1.520707747309332E21,1.5525377363895824E21,1.584367725469828E21,1.6161977145500744E21,1.648027703630322E21,1.679857692710572E21,1.7116876817908145E21,1.743517670871061E21,1.7753476599513088E21,1.8071776490315587E21,1.839007638111804E21,1.8708376271920518E21,1.9026676162722938E21,1.9344976053525456E21,1.9663275944327884E21,1.9981575835130357E21,2.029987572593282E21,2.0618175616735322E21,2.0936475507537784E21,2.1254775398340234E21,2.1573075289142688E21,2.1891375179945175E21,2.2209675070747653E21,2.252797496155008E21,2.284627485235261E21,2.3164574743155064E21,2.3482874633957524E21,2.3801174524759995E21,2.411947441556248E21,2.4437774306364935E21,2.475607419716742E21,2.507437408796989E21,2.539267397877236E21,2.571097386957486E21,2.6029273760377246E21,2.6347573651179737E21,2.66658735419822E21,2.698417343278467E21,2.730247332358718E21,2.762077321438963E21,2.793907310519212E21,2.8257372995994586E21,2.857567288679701E21,2.8893972777599495E21,2.921227266840195E21,2.9530572559204467E21,2.984887245000692E21,3.0167172340809413E21,3.0485472231611894E21,3.080377212241428E21,3.112207201321678E21,3.1440371904019274E21,3.175867179482173E21,3.2076971685624194E21,3.2395271576426727E21
-33.16187162278615,5.6635342953258746E19,8.857245582785774E19,1.205095687024566E20,1.5244668157705562E20,1.8438379445165497E20,2.1632090732625412E20,2.4825802020085272E20,2.8019513307545197E20,3.1213224595005086E20,3.440693588246501E20,3.76006471699249E20,4.079435845738477E20,4.3988069744844656E20,4.7181781032304633E20,5.037549231976455E20,5.3569203607224366E20,5.6762914894684245E20,5.995662618214421E20,6.315033746960406E20,6.634404875706396E20,6.953776004452398E20,7.273147133198369E20,7.592518261944379E20,7.91188939069037E20,8.231260519436365E20,8.550631648182334E20,8.870002776928327E20,9.189373905674324E20,9.508745034420322E20,9.828116163166314E20,1.0147487291912307E21,1.0466858420658287E21,1.0786229549404258E21,1.1105600678150274E21,1.1424971806896241E21,1.1744342935642247E21,1.2063714064388236E21,1.2383085193134227E21,1.2702456321880223E21,1.3021827450626226E21,1.334119857937218E21,1.3660569708118186E21,1.3979940836864185E21,1.4299311965610186E21,1.4618683094356195E21,1.4938054223102154E21,1.525742535184813E21,1.557679648059416E21,1.5896167609340136E21,1.6215538738086124E21,1.6534909866832114E21,1.6854280995578136E21,1.7173652124324082E21,1.7493023253070073E21,1.7812394381816071E21,1.813176551056209E21,1.845113663930806E21,1.877050776805406E21,1.9089878896800007E21,1.9409250025546045E21,1.9728621154291989E21,2.0047992283037997E21,2.0367363411783978E21,2.0686734540529994E21,2.1006105669275977E21,2.1325476798021957E21,2.164484792676793E21,2.196421905551394E21,2.228359018425994E21,2.2602961313005883E21,2.2922332441751944E21,2.3241703570497913E21,2.3561074699243894E21,2.388044582798987E21,2.419981695673585E21,2.4519188085481836E21,2.4838559214227853E21,2.5157930342973833E21,2.5477301471719834E21,2.579667260046585E21,2.6116043729211763E21,2.643541485795776E21,2.675478598670377E21,2.7074157115449745E21,2.739352824419577E21,2.7712899372941747E21,2.803227050168776E21,2.835164163043375E21,2.8671012759179687E21,2.8990383887925704E21,2.9309755016671674E21,2.962912614541771E21,2.9948497274163686E21,3.02678684029097E21,3.0587239531655704E21,3.090661066040161E21,3.122598178914764E21,3.154535291789365E21,3.186472404663964E21,3.2184095175385615E21,3.250346630413167E21
-32.456450635159484,6.3863554717939425E19,1.0303038450163438E20,1.4219721428532902E20,1.81364044069024E20,2.2053087385271894E20,2.5969770363641384E20,2.988645334201082E20,3.3803136320380305E20,3.77198192987498E20,4.1636502277119305E20,4.5553185255488815E20,4.946986823385821E20,5.33865512122277E20,5.7303234190597285E20,6.121991716896679E20,6.513660014733613E20,6.905328312570564E20,7.296996610407512E20,7.688664908244462E20,8.080333206081413E20,8.472001503918377E20,8.863669801755296E20,9.255338099592268E20,9.647006397429219E20,1.003867469526617E21,1.0430342993103094E21,1.0822011290940047E21,1.1213679588777009E21,1.1605347886613962E21,1.1997016184450908E21,1.238868448228787E21,1.2780352780124792E21,1.3172021077961718E21,1.3563689375798704E21,1.395535767363562E21,1.434702597147259E21,1.4738694269309543E21,1.5130362567146474E21,1.552203086498342E21,1.5913699162820386E21,1.6305367460657292E21,1.6697035758494254E21,1.7088704056331217E21,1.748037235416818E21,1.7872040652005156E21,1.8263708949842071E21,1.8655377247679005E21,1.9047045545515994E21,1.9438713843352926E21,1.983038214118986E21,2.0222050439026822E21,2.061371873686381E21,2.1005387034700698E21,2.139705533253765E21,2.1788723630374605E21,2.2180391928211586E21,2.257206022604851E21,2.2963728523885475E21,2.3355396821722362E21,2.374706511955938E21,2.4138733417396217E21,2.453040171523322E21,2.492207001307018E21,2.531373831090714E21,2.5705406608744084E21,2.6097074906581E21,2.6488743204417936E21,2.6880411502254914E21,2.727207980009188E21,2.76637480979288E21,2.8055416395765797E21,2.844708469360272E21,2.8838752991439676E21,2.9230421289276597E21,2.962208958711356E21,3.00137578849505E21,3.0405426182787474E21,3.0797094480624395E21,3.1188762778461353E21,3.1580431076298347E21,3.19720993741352E21,3.2363767671972147E21,3.2755435969809104E21,3.314710426764606E21,3.353877256548306E21,3.3930440863319987E21,3.4322109161156955E21,3.47137774589939E21,3.5105445756830787E21,3.5497114054667765E21,3.58887823525047E21,3.6280450650341696E21,3.6672118948178627E21,3.7063787246015616E21,3.745545554385258E21,3.784712384168944E21,3.823879213952641E21,3.86304604373634E21,3.9022128735200325E21,3.941379703303727E21,3.980546533087428E21
-32.016011409473386,5.8452617213019275E19,9.220953617143588E19,1.25966455129852E20,1.5972337408826855E20,1.9348029304668488E20,2.2723721200510127E20,2.609941309635172E20,2.947510499219337E20,3.2850796888035E20,3.622648878387666E20,3.960218067971833E20,4.297787257555988E20,4.635356447140149E20,4.9729256367243244E20,5.310494826308489E20,5.6480640158926406E20,5.985633205476803E20,6.323202395060973E20,6.66077158464514E20,6.998340774229306E20,7.335909963813488E20,7.67347915339762E20,8.011048342981807E20,8.34861753256597E20,8.686186722150137E20,9.023755911734277E20,9.361325101318448E20,9.698894290902625E20,1.0036463480486802E21,1.0374032670070964E21,1.0711601859655131E21,1.1049171049239272E21,1.1386740238823411E21,1.1724309428407606E21,1.2061878617991752E21,1.239944780757592E21,1.273701699716008E21,1.3074586186744243E21,1.3412155376328403E21,1.3749724565912593E21,1.4087293755496716E21,1.4424862945080889E21,1.4762432134665058E21,1.5100001324249247E21,1.5437570513833424E21,1.577513970341755E21,1.611270889300171E21,1.645027808258591E21,1.6787847272170046E21,1.7125416461754203E21,1.7462985651338383E21,1.7800554840922582E21,1.813812403050669E21,1.8475693220090853E21,1.8813262409675023E21,1.9150831599259225E21,1.9488400788843355E21,1.9825969978427554E21,2.016353916801166E21,2.0501108357595883E21,2.0838677547179985E21,2.117624673676416E21,2.1513815926348335E21,2.185138511593253E21,2.218895430551668E21,2.2526523495100816E21,2.2864092684684962E21,2.3201661874269174E21,2.3539231063853336E21,2.387680025343748E21,2.4214369443021697E21,2.4551938632605835E21,2.4889507822189994E21,2.522707701177415E21,2.5564646201358313E21,2.590221539094246E21,2.623978458052665E21,2.6577353770110833E21,2.691492295969497E21,2.725249214927915E21,2.7590061338863243E21,2.792763052844742E21,2.82651997180316E21,2.860276890761577E21,2.894033809719996E21,2.927790728678411E21,2.9615476476368325E21,2.9953045665952464E21,3.0290614855536576E21,3.0628184045120777E21,3.096575323470491E21,3.130332242428913E21,3.164089161387326E21,3.197846080345747E21,3.2316029993041637E21,3.265359918262572E21,3.29911683722099E21,3.332873756179411E21,3.366630675137824E21,3.4003875940962434E21,3.4341445130546635E21
-31.394072101886202,6.182197596989907E19,9.895022729835746E19,1.3607847862681562E20,1.73206729955274E20,2.103349812837324E20,2.4746323261219068E20,2.8459148394064868E20,3.217197352691076E20,3.588479865975659E20,3.9597623792602435E20,4.3310448925448326E20,4.7023274058294054E20,5.0736099191139887E20,5.4448924323985863E20,5.816174945683169E20,6.187457458967734E20,6.558739972252316E20,6.930022485536903E20,7.301304998821493E20,7.672587512106077E20,8.043870025390674E20,8.415152538675236E20,8.786435051959833E20,9.157717565244418E20,9.529000078529009E20,9.900282591813576E20,1.0271565105098161E21,1.0642847618382755E21,1.1014130131667355E21,1.1385412644951928E21,1.1756695158236524E21,1.2127977671521086E21,1.2499260184805628E21,1.287054269809025E21,1.3241825211374814E21,1.361310772465941E21,1.3984390237944E21,1.435567275122858E21,1.4726955264513147E21,1.5098237777797754E21,1.5469520291082302E21,1.58408028043669E21,1.6212085317651485E21,1.6583367830936095E21,1.69546503442207E21,1.732593285750524E21,1.7697215370789813E21,1.806849788407445E21,1.8439780397359004E21,1.8811062910643578E21,1.9182345423928172E21,1.955362793721279E21,1.9924910450497327E21,2.0296192963781906E21,2.0667475477066492E21,2.103875799035111E21,2.1410040503635652E21,2.1781323016920288E21,2.2152605530204807E21,2.2523888043489448E21,2.289517055677396E21,2.3266453070058577E21,2.3637735583343145E21,2.4009018096627766E21,2.4380300609912344E21,2.475158312319691E21,2.5122865636481486E21,2.5494148149766107E21,2.586543066305069E21,2.623671317633522E21,2.660799568961989E21,2.697927820290441E21,2.7350560716189026E21,2.772184322947361E21,2.8093125742758173E21,2.8464408256042736E21,2.8835690769327357E21,2.920697328261196E21,2.9578255795896514E21,2.994953830918112E21,3.032082082246561E21,3.0692103335750224E21,3.10633858490348E21,3.14346683623194E21,3.180595087560401E21,3.2177233388888586E21,3.2548515902173206E21,3.2919798415457764E21,3.329108092874228E21,3.366236344202694E21,3.403364595531148E21,3.440492846859611E21,3.477621098188067E21,3.5147493495165325E21,3.5518776008449883E21,3.589005852173437E21,3.626134103501896E21,3.6632623548303614E21,3.7003906061588145E21,3.737518857487278E21,3.7746471088157407E21
-31.377700453167684,6.182492790794791E19,9.895619511646837E19,1.3608746232498841E20,1.7321872953350865E20,2.1034999674202895E20,2.4748126395054912E20,2.8461253115906897E20,3.217437983675895E20,3.5887506557610964E20,3.9600633278463E20,4.3313759999315077E20,4.702688672016699E20,5.074001344101901E20,5.4453140161871164E20,5.816626688272319E20,6.187939360357497E20,6.559252032442698E20,6.930564704527904E20,7.301877376613114E20,7.673190048698316E20,8.044502720783533E20,8.41581539286871E20,8.787128064953926E20,9.158440737039132E20,9.529753409124341E20,9.901066081209527E20,1.0272378753294729E21,1.0643691425379942E21,1.1015004097465161E21,1.1386316769550354E21,1.1757629441635568E21,1.2128942113720775E21,1.2500254785805938E21,1.2871567457891178E21,1.3242880129976359E21,1.3614192802061576E21,1.3985505474146785E21,1.435681814623198E21,1.472813081831717E21,1.5099443490402394E21,1.5470756162487562E21,1.584206883457278E21,1.621338150665798E21,1.658469417874321E21,1.6956006850828435E21,1.7327319522913592E21,1.7698632194998783E21,1.806994486708404E21,1.8441257539169212E21,1.8812570211254406E21,1.9183882883339618E21,1.9555195555424856E21,1.992650822751001E21,2.0297820899595209E21,2.0669133571680413E21,2.104044624376565E21,2.1411758915850813E21,2.1783071587936064E21,2.2154384260021202E21,2.2525696932106462E21,2.289700960419159E21,2.3268322276276828E21,2.3639634948362024E21,2.4010947620447243E21,2.438226029253243E21,2.4753572964617615E21,2.512488563670281E21,2.549619830878805E21,2.586751098087325E21,2.62388236529584E21,2.6610136325043687E21,2.6981448997128834E21,2.7352761669214053E21,2.772407434129926E21,2.8095387013384446E21,2.846669968546962E21,2.8838012357554864E21,2.9209325029640094E21,2.958063770172526E21,2.9951950373810487E21,3.0323263045895596E21,3.0694575717980827E21,3.1065888390066025E21,3.1437201062151245E21,3.180851373423648E21,3.217982640632166E21,3.2551139078406904E21,3.292245175049208E21,3.329376442257722E21,3.3665077094662495E21,3.403638976674765E21,3.4407702438832903E21,3.4779015110918076E21,3.515032778300336E21,3.552164045508853E21,3.5892953127173635E21,3.626426579925885E21,3.663557847134412E21,3.700689114342927E21,3.7378203815514525E21,3.7749516487599766E21
