% Model:              version04-chipAndSpace.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 31 2023, 16:01
% Dimension:          1
% Nodes:              1965
% Expressions:        21
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-50.00000000000001,0,3.3734384139036172E22,6.746876827807291E22,1.0120315241711494E23,1.3493753655614466E23,1.6867192069517063E23,2.0240630483423115E23,2.3614068897320497E23,2.6987507311228777E23,3.036094572513376E23,3.3734384139032475E23,3.710782255293649E23,4.048126096684614E23,4.385469938074033E23,4.722813779464124E23,5.0601576208556565E23,5.397501462245786E23,5.734845303635487E23,6.072189145026437E23,6.409532986417396E23,6.746876827806762E23
-49.98550216391287,0,3.3734429246264734E22,6.746885849253007E22,1.0120328773880068E23,1.3493771698505894E23,1.6867214623131347E23,2.024065754776026E23,2.3614100472380476E23,2.6987543397011626E23,3.0360986321639506E23,3.3734429246261017E23,3.7107872170887936E23,4.048131509552043E23,4.385475802013741E23,4.7228200944761206E23,5.060164386939937E23,5.3975086794023575E23,5.734852971864343E23,6.072197264327591E23,6.409541556790823E23,6.74688584925248E23
-49.92399447834217,0,3.3734608998526465E22,6.746921799705343E22,1.012038269955858E23,1.3493843599410579E23,1.686730449926216E23,2.0240765399117305E23,2.3614226298963713E23,2.6987687198821004E23,3.0361148098675056E23,3.373460899852268E23,3.710806989837582E23,4.04815307982345E23,4.385499169807761E23,4.722845259792767E23,5.060191349779192E23,5.3975374397642316E23,5.734883529748835E23,6.072229619734696E23,6.409575709720559E23,6.746921799704792E23
-49.83028583165998,0,3.3734880265357085E22,6.746976053071482E22,1.0120464079607777E23,1.3493952106142826E23,1.686744013267754E23,2.02409281592157E23,2.3614416185745156E23,2.6987904212285504E23,3.036139223882259E23,3.373488026535344E23,3.7108368291889563E23,4.0481856318431284E23,4.3855344344957576E23,4.722883237149058E23,5.060232039803791E23,5.39758084245713E23,5.734929645110052E23,6.072278447764215E23,6.409627250418379E23,6.746976053070964E23
-49.483777691308795,0,3.3735721100341223E22,6.7471442200683E22,1.0120716330102994E23,1.349428844013649E23,1.6867860550169548E23,2.024143266020611E23,2.3615004770234005E23,2.6988576880272804E23,3.036214899030834E23,3.373572110033738E23,3.7109293210372083E23,4.0482865320412124E23,4.385643743043685E23,4.723000954046828E23,5.060358165051401E23,5.397715376054596E23,5.735072587057333E23,6.072429798061348E23,6.409787009065357E23,6.747144220067762E23
-49.24483442126819,0,3.3736196185666527E22,6.747239237133361E22,1.0120858855700581E23,1.3494478474266611E23,1.6868098092832224E23,2.0241717711401297E23,2.3615337329961736E23,2.6988956948533077E23,3.0362576567101113E23,3.373619618566282E23,3.710981580423E23,4.0483435422802514E23,4.3857055041359755E23,4.7230674659923795E23,5.060429427850202E23,5.3977913897066443E23,5.7351533515626376E23,6.072515313419907E23,6.40987727527715E23,6.747239237132832E23
-49.19814765569693,0,3.3736276961216338E22,6.747255392243333E22,1.0120883088365535E23,1.3494510784486535E23,1.6868138480607138E23,2.02417661767312E23,2.3615393872846595E23,2.698902156897292E23,3.0362649265096E23,3.3736276961212625E23,3.710990465733477E23,4.048353235346231E23,4.38571600495745E23,4.723078774569342E23,5.0604415441826766E23,5.397804313794614E23,5.7351670834061126E23,6.072529853018881E23,6.409892622631628E23,6.747255392242791E23
-49.08711140502299,0,3.373646440003626E22,6.7472928800073205E22,1.0120939320011515E23,1.34945857600145E23,1.6868232200017134E23,2.0241878640023164E23,2.3615525080020568E23,2.6989171520028866E23,3.036281796003391E23,3.3736464400032584E23,3.7110110840036665E23,4.048375728004622E23,4.385740372004044E23,4.7231050160041343E23,5.060469660005657E23,5.3978343040058E23,5.735198948005515E23,6.072563592006459E23,6.409928236007417E23,6.747292880006803E23
-49.019390787069334,0,3.373657317319106E22,6.747314634638268E22,1.0120971951957944E23,1.3494629269276415E23,1.6868286586594473E23,2.024194390391602E23,2.3615601221228883E23,2.698925853855269E23,3.036291585587314E23,3.373657317318731E23,3.7110230490506934E23,4.048388780783195E23,4.3857545125141495E23,4.7231202442457974E23,5.06048597597887E23,5.397851707710566E23,5.73521743944181E23,6.072583171174305E23,6.409948902906809E23,6.74731463463773E23
-48.94339592532732,0,3.3736685796318725E22,6.747337159263805E22,1.0121005738896243E23,1.3494674318527488E23,1.6868342898158316E23,2.0242011477792628E23,2.3615680057418242E23,2.6989348637054806E23,3.0363017216688034E23,3.373668579631493E23,3.7110354375947276E23,4.048402295558516E23,4.385769153520761E23,4.723136011483672E23,5.0605028694480275E23,5.397869727410995E23,5.735236585373515E23,6.072603443337306E23,6.409970301301056E23,6.747337159263265E23
