% Model:              version04-chipAndSpace.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 31 2023, 14:20
% Dimension:          1
% Nodes:              1965
% Expressions:        41
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-50.00000000000001,6.746876827806825E23,7.421564510587043E23,8.096252193369184E23,8.770939876148128E23,9.445627558928199E23,1.0120315241710314E24,1.079500292449157E24,1.1469690607270914E24,1.214437829005281E24,1.2819065972833812E24,1.3493753655613632E24,1.4168441338396143E24,1.4843129021174626E24,1.5517816703957677E24,1.619250438673835E24,1.6867192069517836E24,1.7541879752296388E24,1.8216567435080293E24,1.8891255117857294E24,1.9565942800638206E24,2.0240630483422626E24,2.0915318166200958E24,2.1590005848983021E24,2.226469353176176E24,2.2939381214542915E24,2.3614068897321513E24,2.42887565801056E24,2.496344426288548E24,2.563813194566763E24,2.6312819628446357E24,2.6987507311227263E24,2.766219499401103E24,2.8336882676792287E24,2.9011570359570117E24,2.968625804234819E24,3.0360945725130056E24,3.1035633407915354E24,3.1710321090693E24,3.23850087734767E24,3.3059696456257434E24,3.373438413903705E24
-49.98550216391287,6.746885849252539E23,7.421574434177346E23,8.096263019104044E23,8.77095160402754E23,9.44564018895219E23,1.0120328773878887E24,1.0795017358804714E24,1.1469705943728617E24,1.2144394528655107E24,1.2819083113580692E24,1.3493771698505064E24,1.4168460283432129E24,1.4843148868355204E24,1.5517837453282824E24,1.6192526038208066E24,1.6867214623132124E24,1.7541903208055226E24,1.8216591792983716E24,1.889128037790526E24,1.9565968962830798E24,2.024065754775975E24,2.0915346132682642E24,2.15900347176093E24,2.2264723302532602E24,2.2939411887458335E24,2.3614100472381545E24,2.428878905731019E24,2.4963477642234613E24,2.5638166227161385E24,2.631285481208464E24,2.698754339701013E24,2.766223198193839E24,2.8336920566864257E24,2.9011609151786707E24,2.96862977367094E24,3.0360986321635795E24,3.103567490656565E24,3.171036349148782E24,3.238505207641613E24,3.3059740661341454E24,3.373442924626557E24
-49.92399447834217,6.746921799704863E23,7.421613979674924E23,8.096306159646851E23,8.770998339615577E23,9.445690519585485E23,1.0120382699557378E24,1.0795074879528463E24,1.1469767059497591E24,1.214445923946932E24,1.281915141944014E24,1.3493843599409703E24,1.4168535779382049E24,1.4843227959350365E24,1.5517920139323208E24,1.6192612319293677E24,1.6867304499262987E24,1.7541996679231317E24,1.8216688859205024E24,1.8891381039171867E24,1.9566073219142587E24,2.0240765399116769E24,2.091545757908492E24,2.1590149759056803E24,2.2264841939025318E24,2.2939534118996338E24,2.3614226298964752E24,2.428891847893861E24,2.4963610658908273E24,2.563830283888028E24,2.631299501884878E24,2.6987687198819405E24,2.766237937879301E24,2.8337071558764097E24,2.9011763738731735E24,2.9686455918699716E24,3.0361148098671294E24,3.1035840278646416E24,3.1710532458613844E24,3.2385224638587355E24,3.305991681855793E24,3.373460899852729E24
-49.83028583165998,6.746976053071015E23,7.421673658377678E23,8.096371263686213E23,8.771068868991574E23,9.445766474298062E23,1.012046407960661E24,1.079516168491426E24,1.146985929022003E24,1.214455689552835E24,1.2819254500835783E24,1.349395210614202E24,1.4168649711450968E24,1.4843347316755847E24,1.5518044922065316E24,1.6192742527372396E24,1.6867440132678297E24,1.7542137737983283E24,1.8216835343293613E24,1.8891532948597045E24,1.956623055390439E24,2.0240928159215164E24,2.0915625764519944E24,2.1590323369828403E24,2.2265020975133577E24,2.2939718580441178E24,2.3614416185746212E24,2.428911379105668E24,2.496381139636307E24,2.563850900167157E24,2.63132066069767E24,2.698790421228404E24,2.766260181759418E24,2.8337299422901936E24,2.901199702820617E24,2.9686694633510733E24,3.0361392238818894E24,3.103608984413063E24,3.1710787449434686E24,3.238548505474479E24,3.3060182660051997E24,3.3734880265357947E24
-49.483777691308795,6.747144220067819E23,7.42185864207418E23,8.09657306408238E23,8.771287486087433E23,9.446001908093602E23,1.0120716330101833E24,1.0795430752109189E24,1.14701451741146E24,1.2144859596122626E24,1.281957401812977E24,1.3494288440135625E24,1.4169002862144253E24,1.484371728414886E24,1.551843170615798E24,1.6193146128164745E24,1.6867860550170364E24,1.7542574972175008E24,1.8217289394184978E24,1.8892003816188096E24,1.9566718238195137E24,2.0241432660205604E24,2.0916147082210042E24,2.1590861504218243E24,2.226557592622307E24,2.2940290348230332E24,2.3615004770235108E24,2.428971919224522E24,2.496443361425123E24,2.563914803625954E24,2.631386245826433E24,2.698857688027125E24,2.766329130228113E24,2.8338005724288507E24,2.901272014629249E24,2.968743456829673E24,3.0362148990304566E24,3.103686341231596E24,3.1711577834319814E24,3.238629225632949E24,3.306100667833642E24,3.373572110034206E24
-49.24483442126819,6.74723923713289E23,7.421963160845735E23,8.096687084560449E23,8.771411008272003E23,9.446134931984695E23,1.0120858855699404E24,1.0795582779413285E24,1.1470306703125212E24,1.2145030626839734E24,1.2819754550553334E24,1.3494478474265763E24,1.416920239798091E24,1.4843926321692023E24,1.551865024540762E24,1.619337416912088E24,1.6868098092833024E24,1.7542822016544144E24,1.821754594026067E24,1.8892269863970267E24,1.9566993787683824E24,2.0241717711400809E24,2.0916441635111764E24,2.1591165558826462E24,2.2265889482537777E24,2.2940613406251533E24,2.3615337329962795E24,2.4290061253679457E24,2.4964785177391943E24,2.5639509101106673E24,2.6314233024818E24,2.6988956948531527E24,2.766368087224784E24,2.833840479596182E24,2.9013128719672227E24,2.9687852643382957E24,3.036257656709737E24,3.103730049081524E24,3.1712024414525563E24,3.238674833824176E24,3.306147226195516E24,3.3736196185667396E24
-49.19814765569693,6.747255392242855E23,7.421980931466713E23,8.09670647069242E23,8.771432009914963E23,9.446157549138638E23,1.0120883088364355E24,1.0795608627589225E24,1.1470334166812162E24,1.2145059706037684E24,1.281978524526227E24,1.3494510784485684E24,1.4169236323711833E24,1.4843961862933922E24,1.551868740216055E24,1.619341294138482E24,1.6868138480607932E24,1.7542864019830063E24,1.8217589559057537E24,1.8892315098278186E24,1.956704063750274E24,2.0241766176730706E24,2.0916491715952618E24,2.1591217255178335E24,2.2265942794400676E24,2.2940668333625436E24,2.3615393872847688E24,2.429011941207535E24,2.4964844951298876E24,2.563957049052454E24,2.6314296029746887E24,2.6989021568971367E24,2.7663747108198693E24,2.8338472647423667E24,2.9013198186645033E24,2.9687923725866883E24,3.0362649265092244E24,3.10373748043211E24,3.1712100343542444E24,3.238682588276964E24,3.306155142199402E24,3.3736276961217286E24
-49.08711140502299,6.747292880006854E23,7.422022168007089E23,8.096751456009201E23,8.771480744008155E23,9.446210032008227E23,1.0120939320010345E24,1.0795668608011599E24,1.147039789601096E24,1.2145127184012854E24,1.2819856472013835E24,1.3494585760013694E24,1.41693150480162E24,1.4844044336014687E24,1.5518773624017685E24,1.6193502912018373E24,1.6868232200017894E24,1.7542961488016443E24,1.8217690776020358E24,1.889242006401732E24,1.95671493520183E24,2.0241878640022628E24,2.091660792802101E24,2.1591337216023093E24,2.2266066504021835E24,2.2940795792023045E24,2.361552508002164E24,2.429025436802569E24,2.496498365602562E24,2.5639712944027675E24,2.631444223202642E24,2.698917152002739E24,2.7663900808031083E24,2.83386300960324E24,2.9013359384030173E24,2.9688088672028376E24,3.036281796003026E24,3.103754724803537E24,3.171227653603318E24,3.2387005824036746E24,3.306173511203756E24,3.373646440003713E24
-49.019390787069334,6.747314634637789E23,7.422046098101133E23,8.096777561566343E23,8.771509025028368E23,9.446240488491553E23,1.0120971951956753E24,1.0795703415421131E24,1.1470434878883545E24,1.2145166342348547E24,1.2819897805812644E24,1.3494629269275554E24,1.416936073274116E24,1.484409219620279E24,1.5518823659668903E24,1.6193555123132664E24,1.686828658659529E24,1.754301805005686E24,1.8217749513523868E24,1.8892480976983984E24,1.9567212440448046E24,2.024194390391548E24,2.091667536737692E24,2.1591406830842152E24,2.2266138294303932E24,2.294086975776819E24,2.361560122122991E24,2.4290332684697066E24,2.49650641481601E24,2.5639795611625287E24,2.631452707508713E24,2.698925853855111E24,2.7663990002017957E24,2.833872146548232E24,2.9013452928943316E24,2.968818439240455E24,3.0362915855869454E24,3.1037647319337805E24,3.1712378782798614E24,3.238711024626533E24,3.306184170972918E24,3.3736573173191847E24
-48.94339592532732,6.747337159263326E23,7.422070875189214E23,8.096804591116979E23,8.771538307041585E23,9.446272022967297E23,1.0121005738895065E24,1.0795739454821988E24,1.1470473170746956E24,1.2145206886674526E24,1.2819940602601142E24,1.349467431852664E24,1.4169408034454788E24,1.484414175037893E24,1.551887546630763E24,1.6193609182233938E24,1.6868342898159124E24,1.7543076614083308E24,1.8217810330012812E24,1.889254404593546E24,1.956727776186208E24,2.024201147779211E24,2.0916745193716104E24,2.1591478909643844E24,2.2266212625568176E24,2.2940946341495045E24,2.36156800574193E24,2.4290413773349036E24,2.496514748927457E24,2.5639881205202285E24,2.6314614921126694E24,2.698934863705328E24,2.766408235298262E24,2.8338816068909576E24,2.9013549784833105E24,2.9688283500756876E24,3.036301721668426E24,3.103775093261526E24,3.1712484648538576E24,3.2387218364467877E24,3.3061952080394235E24,3.3736685796319595E24
